epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.37389612197875977,0.0010000000474974513,2.260744571685791,0.8284876346588135,0.5532165765762329
1,0.8324353694915771,0.0010000000474974513,0.5271106362342834,0.9468247890472412,0.1621372401714325
2,0.9278222322463989,0.0010000000474974513,0.2401924878358841,0.9818923473358154,0.052764005959033966
3,0.9495329260826111,0.0010000000474974513,0.16392311453819275,0.9941341280937195,0.02099676802754402
4,0.9627634286880493,0.0010000000474974513,0.11799094825983047,0.9945167303085327,0.01988966576755047
5,0.9687250852584839,0.0010000000474974513,0.10313794016838074,0.995919406414032,0.013571555726230145
6,0.9728057980537415,0.0010000000474974513,0.0883684754371643,0.9926038980484009,0.024765679612755775
7,0.9740491509437561,0.0010000000474974513,0.08798544853925705,0.9969395399093628,0.011456009931862354
8,0.9770459532737732,0.0010000000474974513,0.07676628232002258,0.9948992729187012,0.016326425597071648
9,0.9782255291938782,0.0010000000474974513,0.07085932791233063,0.9956643581390381,0.014593034982681274
10,0.9816686511039734,0.0010000000474974513,0.060718558728694916,0.9977046847343445,0.007687239907681942
11,0.981317937374115,0.0010000000474974513,0.06433072686195374,0.995919406414032,0.015666108578443527
12,0.983390212059021,0.0010000000474974513,0.05461748316884041,0.9987248182296753,0.0056317090056836605
13,0.9833583235740662,0.0010000000474974513,0.058759935200214386,0.9965569972991943,0.009020168334245682
14,0.9853986501693726,0.0010000000474974513,0.05035911872982979,0.9985973238945007,0.00366347748786211
15,0.9867695569992065,0.0010000000474974513,0.04470275714993477,0.9982147216796875,0.005936162546277046
16,0.9879491329193115,0.0010000000474974513,0.04044745862483978,0.9980872273445129,0.006663487758487463
17,0.9876621961593628,0.0010000000474974513,0.04169570282101631,0.9992349147796631,0.0036259624175727367
18,0.9936238527297974,0.0005000000237487257,0.02282874658703804,0.9988523125648499,0.0030985462944954634
19,0.9939426779747009,0.0005000000237487257,0.020812921226024628,0.9991073608398438,0.0034033232368528843
20,0.9945484399795532,0.0005000000237487257,0.018766090273857117,0.9991073608398438,0.0031139745842665434
21,0.9943571090698242,0.0005000000237487257,0.018991883844137192,0.9992349147796631,0.002979609649628401
22,0.9930181503295898,0.0005000000237487257,0.021531730890274048,0.9987248182296753,0.004687864799052477
23,0.99416583776474,0.0005000000237487257,0.01862388290464878,0.9992349147796631,0.0022755481768399477
24,0.9946759343147278,0.0005000000237487257,0.018417121842503548,0.9993624091148376,0.002227743389084935
