epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.35444894433021545,0.0010000000474974513,2.418282985687256,0.71512371301651,0.8541612029075623
1,0.8157618045806885,0.0010000000474974513,0.5986413359642029,0.9709258079528809,0.10999366641044617
2,0.917301595211029,0.0010000000474974513,0.267520934343338,0.9853353500366211,0.06246408820152283
3,0.9413396120071411,0.0010000000474974513,0.19432051479816437,0.9887783527374268,0.03553654998540878
4,0.9577262997627258,0.0010000000474974513,0.13857191801071167,0.987503170967102,0.03945155441761017
5,0.9636241793632507,0.0010000000474974513,0.11997255682945251,0.995919406414032,0.016390537843108177
6,0.967067301273346,0.0010000000474974513,0.10611413419246674,0.9956643581390381,0.01525283232331276
7,0.9734753370285034,0.0010000000474974513,0.08909265697002411,0.9956643581390381,0.013436691835522652
8,0.9751650094985962,0.0010000000474974513,0.08421395719051361,0.995919406414032,0.01842072792351246
9,0.9748142957687378,0.0010000000474974513,0.08488553017377853,0.9979597330093384,0.010340077802538872
10,0.9802658557891846,0.0010000000474974513,0.06576596945524216,0.9975771307945251,0.007583389990031719
11,0.9802021384239197,0.0010000000474974513,0.06691039353609085,0.9980872273445129,0.007458843756467104
12,0.9804571866989136,0.0010000000474974513,0.06599513441324234,0.9955368638038635,0.013733365572988987
13,0.9839321374893188,0.0010000000474974513,0.053135938942432404,0.9950267672538757,0.024354614317417145
14,0.983390212059021,0.0010000000474974513,0.05453446879982948,0.9926038980484009,0.025274202227592468
15,0.9904995560646057,0.0005000000237487257,0.03283996134996414,0.9994899034500122,0.0021884653251618147
16,0.9920936226844788,0.0005000000237487257,0.02718283236026764,0.9992349147796631,0.004411735106259584
17,0.9923486709594727,0.0005000000237487257,0.025926467031240463,0.9992349147796631,0.0037784422747790813
18,0.9920936226844788,0.0005000000237487257,0.02569938637316227,0.9987248182296753,0.0051831710152328014
19,0.993687629699707,0.0002500000118743628,0.0197853185236454,0.9994899034500122,0.0017734444700181484
20,0.9948353171348572,0.0002500000118743628,0.019030898809432983,0.9994899034500122,0.002712455578148365
21,0.9959192872047424,0.0002500000118743628,0.013891555368900299,0.9994899034500122,0.0028431497048586607
22,0.9961743354797363,0.0002500000118743628,0.013824677094817162,0.9992349147796631,0.002609481569379568
23,0.9961743354797363,0.0001250000059371814,0.012037446722388268,0.9996174573898315,0.0021886839531362057
24,0.9971945285797119,0.0001250000059371814,0.009983622469007969,0.9993624091148376,0.0027890396304428577
